index,actual_method,predicted_1st_method,predicted_1st_score,predicted_1st_raw_score,predicted_1st_judgement,predicted_2nd_method,predicted_2nd_score,predicted_2nd_raw_score,predicted_2nd_judgement,predicted_3rd_method,predicted_3rd_score,predicted_3rd_raw_score,predicted_3rd_judgement,correct,reason
46,Slurry TBM,Slurry TBM,95,0.5735,적합,개착식,85,0.3311,적합,NATM,50,0.0485,추천하지 않음,True,1순위 정답
47,개착식,개착식,85,0.2211,적합,NATM,70,0.1109,가능,EPB TBM,70,0.1509,가능,True,1순위 정답
48,Slurry TBM,Slurry TBM,95,0.6482,적합,개착식,85,0.4283,적합,NATM,70,0.1137,가능,True,1순위 정답
49,EPB TBM,Slurry TBM,95,0.4338,적합,NATM,50,0.0593,추천하지 않음,EPB TBM,50,0.0799,추천하지 않음,False,오답
50,EPB TBM,Slurry TBM,95,0.359,적합,EPB TBM,85,0.2253,적합,NATM,70,0.0848,가능,True,2순위 인정
51,EPB TBM,EPB TBM,95,0.9132,적합,Slurry TBM,70,0.1525,가능,개착식,50,0.0181,추천하지 않음,True,1순위 정답
52,NATM,Slurry TBM,95,0.4096,적합,EPB TBM,70,0.1598,가능,개착식,50,0.0206,추천하지 않음,False,오답
53,EPB TBM,NATM,85,0.1325,적합,EPB TBM,85,0.4809,적합,Slurry TBM,70,0.2017,가능,True,2순위 인정
54,EPB TBM,EPB TBM,95,0.7133,적합,개착식,95,0.8016,적합,Slurry TBM,85,0.3268,적합,True,1순위 정답
55,EPB TBM,EPB TBM,85,0.6458,적합,개착식,70,0.0803,가능,Slurry TBM,70,0.1026,가능,True,1순위 정답
